arm,towers,sockets,shape,entry,meanDepth,lane0Leak,lane1Leak,totalLeak
B,4,L0S0|L0S2|L1S2|J,2-1-1,2.50,6.750,9,3,12
B,4,L0S0|L1S0|L1S1|L1S2,1-3-0,2.50,5.250,16,0,16
B,4,L0S0|L1S0|L1S1|J,1-2-1,2.50,4.500,15,0,15
B,4,L0S0|L1S0|L1S2|J,1-2-1,2.50,5.250,15,0,15
B,4,L0S0|L1S1|L1S2|J,1-2-1,2.50,6.000,15,0,15
B,4,L0S1|L0S2|L1S0|L1S1,2-2-0,2.50,6.000,5,2,7
B,4,L0S1|L0S2|L1S0|L1S2,2-2-0,2.50,6.750,5,2,7
B,4,L0S1|L0S2|L1S0|J,2-1-1,2.50,6.000,2,3,5
B,4,L0S1|L0S2|L1S1|L1S2,2-2-0,2.50,7.500,5,1,6
B,4,L0S1|L0S2|L1S1|J,2-1-1,2.50,6.750,2,8,10
B,4,L0S1|L0S2|L1S2|J,2-1-1,2.50,7.500,2,3,5
B,4,L0S1|L1S0|L1S1|L1S2,1-3-0,2.50,6.000,17,0,17
B,4,L0S1|L1S0|L1S1|J,1-2-1,2.50,5.250,17,0,17
B,4,L0S1|L1S0|L1S2|J,1-2-1,2.50,6.000,17,0,17
B,4,L0S1|L1S1|L1S2|J,1-2-1,2.50,6.750,17,0,17
B,4,L0S2|L1S0|L1S1|L1S2,1-3-0,2.50,6.750,17,0,17
B,4,L0S2|L1S0|L1S1|J,1-2-1,2.50,6.000,15,0,15
B,4,L0S2|L1S0|L1S2|J,1-2-1,2.50,6.750,15,0,15
B,4,L0S2|L1S1|L1S2|J,1-2-1,2.50,7.500,15,0,15
B,4,L1S0|L1S1|L1S2|J,0-3-1,2.50,6.000,17,0,17
C,2,L0S0|L0S1,2-0-0,0.00,4.500,4,11,15
C,2,L0S0|L0S2,2-0-0,0.00,6.000,9,11,20
C,2,L0S0|L1S0,1-1-0,0.00,3.000,14,9,23
C,2,L0S0|L1S1,1-1-0,0.00,4.500,14,9,23
C,2,L0S0|L1S2,1-1-0,0.00,6.000,14,9,23
C,2,L0S0|J,1-0-1,0.00,4.500,11,10,21
C,2,L0S1|L0S2,2-0-0,0.00,7.500,5,11,16
C,2,L0S1|L1S0,1-1-0,0.00,4.500,17,9,26
C,2,L0S1|L1S1,1-1-0,0.00,6.000,17,9,26
C,2,L0S1|L1S2,1-1-0,0.00,7.500,17,9,26
C,2,L0S1|J,1-0-1,0.00,6.000,17,10,27
C,2,L0S2|L1S0,1-1-0,0.00,6.000,17,9,26
C,2,L0S2|L1S1,1-1-0,0.00,7.500,17,9,26
C,2,L0S2|L1S2,1-1-0,0.00,9.000,17,9,26
C,2,L0S2|J,1-0-1,0.00,7.500,16,10,26
C,2,L1S0|L1S1,0-2-0,0.00,4.500,17,1,18
C,2,L1S0|L1S2,0-2-0,0.00,6.000,17,1,18
C,2,L1S0|J,0-1-1,0.00,4.500,17,2,19
C,2,L1S1|L1S2,0-2-0,0.00,7.500,17,1,18
C,2,L1S1|J,0-1-1,0.00,6.000,17,8,25
